name,longitude,latitude,postcode,suburb
HAMPTON PARK SHOPPING CENTRE,145.265490000151,-38.0332199993804,3976,Hampton Park
SOUTHLAND SHOPPING CENTRE,145.054449999955,-37.9613799992537,3192,Cheltenham
BEAUMARIS CONCOURSE,145.034450000139,-37.9869299987228,3193,Beaumaris
KILSYTH SHOPPING CENTRE,145.31119999984,-37.8032299992867,3137,Kilsyth
TUNSTALL SQUARE SHOPPING CENTRE,145.171669999438,-37.7913799988056,3111,Donvale
EASTLAND SHOPPING CENTRE,145.229059999714,-37.8129799988575,3134,Ringwood
VERMONT SOUTH SHOPPING CENTRE,145.182230000465,-37.8552599991967,3133,Vermont South
KUMALA VILLAGE SHOPPING CENTRE,145.256949999436,-37.8419299992686,3153,Bayswater
DALLAS SHOPPING CENTRE,144.930560000454,-37.673319998785,3047,Dallas
PALM PLAZA,145.215139999626,-37.9859599987675,3175,Dandenong
WANTIRNA MALL SHOPPING CENTRE,145.229449999544,-37.8469299986646,3152,Wantirna
CHADSTONE SHOPPING CENTRE,145.082989999556,-37.8864699987736,3145,Malvern East
ENDEAVOUR HILLS SHOPPING CENTRE,145.259350000344,-37.9767899986342,3802,Endeavour Hills
WHITEHORSE PLAZA SHOPPING CENTRE,145.119729999632,-37.8180399992695,3128,Box Hill
GLADSTONE PARK SHOPPING CENTRE,144.884790000355,-37.6880099989508,3043,Gladstone Park
OLD ORCHARD SHOPPING CENTRE,145.151950000356,-37.8116499987072,3130,Blackburn
NORTHLAND SHOPPING CENTRE,145.030390000187,-37.7384699990018,3072,Preston
KARINGAL HUB SHOPPING CENTRE,145.165599999431,-38.153149999456,3199,Frankston
PINEWOOD SHOPPING CENTRE,145.143059999445,-37.8944299986456,3149,Mount Waverley
MELTON REGIONAL SHOPPING CENTRE,144.563089999987,-37.6862699991694,3337,Melton West
MEADOW FAIR SHOPPING CENTRE,144.919170000041,-37.6816499992934,3047,Broadmeadows
KNOX CITY SHOPPING CENTRE,145.238060000247,-37.8680399993674,3152,Wantirna South
WENDOUREE VILLAGE,143.825790000221,-37.5333699995301,3355,Wendouree
THRIFT PARK SHOPPING CENTRE,145.076949999607,-37.9833199987707,3194,Mentone
WARREN VILLAGE,145.09278000055,-37.993319999463,3195,Mordialloc
BRANDON PARK SHOPPING CENTRE,145.161949999682,-37.9044299991385,3170,Mulgrave
DONCASTER SHOPPINGTOWN,145.126390000506,-37.7841499992165,3108,Doncaster
TOORONGA VILLAGE SHOPPING CENTRE,145.045800000153,-37.8461799990773,3146,Glen Iris
HARGRAVES MALL,144.280150000212,-36.7601299992289,3550,Bendigo
WILLSMERE VILLAGE SHOPPING CENTRE,145.035279999506,-37.7969299989984,3101,Kew
AIRPORT WEST SHOPPING TOWN,144.887779999451,-37.7133199993197,3042,Airport West
FOREST HILL CHASE,145.164449999544,-37.838879998785,3131,Forest Hill
SCORESBY VILLAGE SHOPPING CENTRE,145.232779999643,-37.8994299995132,3179,Scoresby
GLEN WAVERLEY SHOPPING CENTRE,145.164729999476,-37.8777599989572,3150,Glen Waverley
MOUNTAIN GATE SHOPPING CENTRE,145.275279999579,-37.8838799989623,3156,Ferntree Gully
FOUNTAIN GATE REGIONAL SHOPPING CENTRE,145.303970000353,-38.0177499993701,3805,Narre Warren
BELFORD COURT SHOPPING CENTRE,145.047779999503,-37.7919299988296,3102,Kew East
FRANKSTON SHOPPING CENTRE,145.125280000458,-38.1419299986557,3199,Frankston
BORONIA SHOPPING CENTRE,145.287580000409,-37.8609799992032,3155,Boronia
HIGHPOINT CITY SHOPPING CENTRE,144.889449999667,-37.7738799986426,3032,Maribyrnong
BULLEEN VILLAGE SHOPPING CENTRE,145.091670000557,-37.7666499994936,3105,Bulleen
CRANBOURNE PARK SHOPPING CENTRE,145.28210999989,-38.1087999990097,3977,Cranbourne
CAULFIELD PARK SHOPPING CENTRE,145.024169999528,-37.8727599992883,3161,Caulfield North
ANDREW PLACE SHOPPING CENTRE,145.071949999874,-37.7013799990675,3083,Bundoora
BERWICK VILLAGE MARKET,145.344449999545,-38.0305399990868,3806,Berwick
ALTONA GATE SHOPPING CENTRE,144.848059999982,-37.8269299994648,3025,Altona North
PLENTY HILL SHOPPING CENTRE,145.058060000387,-37.7002599992352,3083,Bundoora
RIVER ESPLANADE,144.945700000186,-37.8242899994782,3008,Docklands
HAMPTON PARK CENTRAL,145.265490000151,-38.0332199993804,3976,Hampton Park
SETTLERS SQUARE,145.210560000445,-37.9891499993648,3175,Dandenong
GATEWAY SHOPPING CENTRE,145.292959999746,-37.8885099988139,3156,Ferntree Gully
WELLS ROAD SHOPPING VILLAGE,145.1412700004,-38.0480099992942,3196,Chelsea Heights
Jan Juc Village ,144.299160000164,-38.3496599994141,3228,Jan Juc
