addressSuburb,addressPostcode,IEO_Score,IER_Score,min_distance_to_shopping_mall,min_distance_to_secondary_school,min_distance_to_park,medical_institution_count,price,IEO_Score_normalized,IER_Score_normalized,min_distance_to_shopping_mall_normalized,min_distance_to_secondary_school_normalized,min_distance_to_park_normalized,medical_institution_count_normalized,price_normalized,liveability_score,affordability_score,overall_score
FOOTSCRAY,3011.0,1106.15,951.83,3.3076363636363633,0.5827272727272726,0.5275,35.86363636363637,520.5909090909091,0.5933022613499057,0.6492286392405067,0.9122629450893439,0.9408899923605806,0.9213859910581221,0.6836007130124776,0.842784345699144,0.7834450903518227,0.842784345699144,0.8131147180254833
TOORAK,3142.0,1176.83,1034.95,5.674918032786885,0.6616393442622951,0.5536885245901639,27.18032786885246,700.983606557377,1.0,0.923226529535865,0.8443352070936332,0.9326009092161455,0.917483081283135,0.5133397621343619,0.7618907593913108,0.8551642482105234,0.7618907593913108,0.8085275038009171
HAWTHORN EAST,3123.0,1164.25,1013.9900000000001,1.150731707317073,0.8947560975609756,1.0119512195121951,14.0,578.2317073170732,0.9276137867541294,0.8541337025316458,0.9741540399622073,0.9081138552982169,0.8491875976881975,0.25490196078431376,0.8169364541179044,0.794684157169785,0.8169364541179044,0.8058103056438448
HAWTHORN,3122.0,1169.12,989.66,7.105344827586207,0.9931896551724138,0.3882758620689655,13.75,570.0431034482758,0.9556361125496283,0.7739319620253164,0.8032899619057043,0.8977741958852508,0.9421347448481423,0.25,0.8206084737900109,0.770461162869007,0.8206084737900109,0.7955348183295089
FLEMINGTON,3031.0,1173.52,961.07,4.7451020408163265,0.8565306122448979,0.970204081632653,11.489795918367347,581.4285714285714,0.9809540249726689,0.6796875,0.8710157233625158,0.9121291373692334,0.8554092277745673,0.20568227290916366,0.8155028827674569,0.7508129810646915,0.8155028827674569,0.7831579319160742
WINDSOR,3181.0,1153.87,940.98,4.00516129032258,0.6087096774193549,0.48709677419354835,26.967741935483872,683.1935483870968,0.8678865297197769,0.6134625527426162,0.8922478826306289,0.9381607481702359,0.9274073361857603,0.5091714104996837,0.7698683639519746,0.7913894099914504,0.7698683639519746,0.7806288869717124
BRUNSWICK WEST,3055.0,1134.8,946.65,4.184921875,0.77796875,0.725078125,15.96875,558.59375,0.7581563956499222,0.6321532172995781,0.8870897596843615,0.9203814338235294,0.8919406669150521,0.29350490196078427,0.8257427130044843,0.7305377292222046,0.8257427130044843,0.7781402211133445
KENSINGTON,3031.0,1173.52,961.0700000000002,4.334714285714286,0.8285714285714286,0.7734285714285715,17.757142857142856,677.1428571428571,0.9809540249726688,0.6796875,0.8827915556466489,0.9150660264105643,0.8847349371939537,0.32857142857142857,0.7725816784112748,0.7786342454658773,0.7725816784112748,0.7756079619385761
BRUNSWICK EAST,3057.0,1162.19,942.86,4.119339622641509,0.8469811320754717,0.7563207547169811,13.00943396226415,605.7547169811321,0.9157604004833431,0.6196598101265822,0.888971603367532,0.9131322340256857,0.8872845373000028,0.23547909729929706,0.804594297317878,0.7433812804337405,0.804594297317878,0.7739877888758092
PRAHRAN,3181.0,1153.87,940.9799999999999,4.239277108433735,0.5898795180722892,0.6089156626506024,19.759036144578314,653.2168674698795,0.8678865297197769,0.6134625527426163,0.8855300686245701,0.9401387060848435,0.9092525092920116,0.3678242381289865,0.7833108217623859,0.7640157674321342,0.7833108217623859,0.77366329459726
